country,countrycode,year,total_deaths,covid_deaths,expected_deaths,excess_deaths,population,land_area,Ratio of Excess death to COVID-19 deaths,non_covid_deaths,covid_deaths_per_100k,excess_deaths_per_100k,GDP_per_capita,Age_65_over_percentage,urban_pop_percentage,Pop_density,Access_to_quality_healthcare
Australia,AUS,2020,164778,910,168241.2049,-3463.204868,25655289,7682300,-3.8,163868,3.547026892,-13.49898989,51868.24756,16.2,86,3,72.6
Australia,AUS,2021,171718,1359,166854.1228,4863.877154,25688079,7682300,3.6,170359,5.290391703,18.93437479,60697.24544,16.6,86,3,72.5
Australia,AUS,2022,190326,14438,168414.0352,21911.9648,25978935,7682300,1.5,175888,55.57579631,84.34512346,65099.84591,16.6,86,3,72.5
Austria,AUT,2020,91196,7706,83134.6438,8061.356179,8916845,82409,1,83490,86.42070149,90.40592473,48789.49785,19.1,59,108,66.6
Austria,AUT,2021,89538,9153,81589.90562,7948.094383,8951520,82409,0.9,80385,102.2507909,88.79044434,53517.89045,19.4,59,109,66.8
Austria,AUT,2022,91582,4689,81758.11684,9823.883146,9052856,82409,2.1,86893,51.79580897,108.5169492,52084.6812,19.4,59,110,66.8
Belgium,BEL,2020,128432,19818,110080.1213,18351.87865,11506938,30280,0.9,108614,172.2265298,159.4853353,45609.00349,19.2,99,380,68.3
Belgium,BEL,2021,111956,8630,107520.5079,4435.492134,11552615,30280,0.5,103326,74.70170174,38.39383667,51850.39718,19.4,99,382,68
Belgium,BEL,2022,116138,4897,107158.5236,8979.476405,11640788,30280,1.8,111241,42.06759886,77.13804602,49926.82543,19.4,99,384,68
Canada,CAN,2020,312305,15993,297574.5478,14730.45225,38007166,"9,093,510",0.9,296312,42.07890691,38.75703926,43349.67786,18,81,4,70
Canada,CAN,2021,311005,14379,297117.8202,13887.17978,38226498,"9,093,510",1,296626,37.61526886,36.32867384,52358.62164,18.5,81,4,70
Canada,CAN,2022,336845,19228,302632.9607,34212.03933,38929902,"9,093,510",1.8,317617,49.39133934,87.88113397,54917.66252,18.5,81,4,70
Chile,CHL,2020,126885,15710,112601.5869,14283.41311,19458310,"743,532",0.9,111175,80.73671352,73.40520893,13173.78479,12.4,85,26,61.6
Chile,CHL,2021,137087,22608,112491.2639,24595.73607,19678363,"743,532",1.1,114479,114.8876052,124.9887304,16240.60778,12.7,85,26,61
Chile,CHL,2022,136472,12591,114278.359,22193.64099,19828563,"743,532",1.8,123881,63.49930653,111.9276318,15355.47974,12.7,85,27,61
Colombia,COL,2020,306243,43965,251469.5183,54773.48165,50407647,"1,109,500",1.2,262278,87.21890946,108.6610562,5304.289129,8.1,81,45,78.6
Colombia,COL,2021,361403,86061,252568.0015,108834.9985,51117378,"1,109,500",1.3,275342,168.3595743,212.9119348,6182.707099,8.2,81,46,78.5
Colombia,COL,2022,285026,11855,258781.2711,26244.72884,51682692,"1,109,500",2.2,273171,22.93804665,50.7804989,6624.165393,8.2,81,47,78.5
Costa Rica,CRI,2020,26209,2185,25315.3418,893.6581985,5111238,"51,060",0.4,24024,42.74893871,17.48418286,12179.25667,19.6,82,100,77.8
Costa Rica,CRI,2021,31093,5168,26010.29427,5082.705729,5163037,"51,060",1,25925,100.0961256,98.44410817,12604.04884,20,82,101,77.8
Costa Rica,CRI,2022,28931,1723,26771.27896,2159.721043,5213373,"51,060",1.3,27208,33.04962066,41.42655902,13365.3564,20,82,102,77.8
Denmark,DNK,2020,55478,1380,55497.40168,-19.40168569,5825337,"42,430",0,54098,23.68961658,-0.33305688,60836.59241,21.7,88,137,69.9
Denmark,DNK,2021,57039,1853,54794.73482,2244.265169,5850189,"42,430",1.2,55186,31.67419036,38.36226777,69268.6518,22.4,88,138,70.1
Denmark,DNK,2022,59277,4471,55167.10448,4109.895505,5910577,"42,430",0.9,54806,75.64405303,69.53459036,67790.05399,22.4,88,139,70.1
Estonia,EST,2020,16057,250,15703.94045,353.0595507,1329479,"42,390",1.4,15807,18.8043587,26.55623374,23595.24368,13.1,68,31,61.5
Estonia,EST,2021,18416,1694,15407.63596,3008.364045,1330932,"42,390",1.8,16722,127.2792299,226.0343913,27943.70122,13.5,68,31,61.6
Estonia,EST,2022,17201,919,15418.70786,1782.292135,1348840,"42,390",1.9,16282,68.13261766,132.135178,28247.09599,13.5,68,32,61.6
Finland,FIN,2020,56237,605,55218.71498,1018.285019,5529545,"303,890",1.7,55632,10.94122572,18.41534917,49169.71934,18.7,87,18,68.5
Finland,FIN,2021,57580,1134,54259.13184,3320.868164,5541020,"303,890",2.9,56446,20.46554605,59.93243417,53559.97768,19,87,18,68.1
Finland,FIN,2022,63046,6010,54465.26218,8580.737829,5556108,"303,890",1.4,57036,108.1692437,154.4379236,50916.28047,19,87,18,68.1
France,FRA,2020,664335,65436,610303.0109,54031.98933,67538482,"547,557",0.8,598899,96.88698659,80.00178229,39179.74426,19.6,84,123,65.5
France,FRA,2021,641845,58957,600956.054,40888.94607,67738863,"547,557",0.7,582888,87.03570947,60.36261056,43671.30841,20,84,124,64.6
France,FRA,2022,656323,38025,604300.6618,52022.33821,67942590,"547,557",1.4,618298,55.96636808,76.56808227,40886.25327,20,84,124,64.6
Germany,DEU,2020,1001448,34281,960845.0633,40602.9367,83160877,"348,560",1.2,967167,41.22250899,48.82456531,46749.47623,19.2,77,239,64.5
Germany,DEU,2021,1019045,77330,947188.997,71856.00298,83196076,"348,560",0.9,941715,92.94909534,86.36946168,51426.75037,19.4,77,239,64.6
Germany,DEU,2022,1064223,49863,951997.8577,112225.1423,83797987,"348,560",2.3,1014360,59.503816,133.9234346,48717.99114,19.4,77,240,64.6
Greece,GRC,2020,132969,4957,126778.647,6190.352997,10698597,"128,900",1.2,128012,46.33317808,57.86135319,17617.29151,19.7,86,83,59.5
Greece,GRC,2021,143667,15953,125021.8936,18645.10637,10569211,"128,900",1.2,127714,150.9384191,176.4096333,20310.68248,19.9,86,82,59.4
Greece,GRC,2022,140292,13869,125907.0476,14384.95243,10361270,"128,900",1,126423,133.8542476,138.833873,20867.26909,19.9,86,80,59.4
Hungary,HUN,2020,143236,9884,130396.7077,12839.29232,9750153,"90,530",1.3,133352,101.3727682,131.682983,16125.60941,17.7,68,108,57
Hungary,HUN,2021,155052,29302,127236.9476,27815.05244,9709893,"90,530",0.9,125750,301.7746951,286.4609573,18753.04695,18.1,68,107,56.3
Hungary,HUN,2022,135952,9309,126694.4094,9257.590635,9643048,"90,530",1,126643,96.53586708,96.00274348,18390.185,18.1,68,107,55.6
Iceland,ISL,2020,2345,29,2352.994569,-7.994569263,366462,"100,250",-0.3,2316,7.913508085,-2.181554776,58848.41812,14.2,88,4,75.9
Iceland,ISL,2021,2338,8,2329.03221,8.96779029,372523,"100,250",1.1,2330,2.147518408,2.407311841,68710.2442,14.5,88,4,75.9
Iceland,ISL,2022,2689,160,2349.729963,339.2700375,382005,"100,250",2.1,2529,41.88426853,88.81298347,73466.77867,14.5,88,4,75.9
Ireland,IRL,2020,33373,2275,31926.67847,1446.321535,4977443,"68,890",0.6,31098,45.70619895,29.0575208,85973.08849,17.7,64,72,70.5
Ireland,IRL,2021,34739,3656,31466.01049,3272.989513,5011460,"68,890",0.9,31083,72.9527922,65.31009951,102001.7982,18.1,64,73,70.6
Ireland,IRL,2022,35176,2381,31693.59813,3482.401872,5100229,"68,890",1.5,32795,46.6841783,68.27932377,103983.2913,18.1,64,74,70.6
Israel,ISR,2020,49556,3416,46432.39906,3123.600936,9215113,"21,640",0.9,46140,37.06954,33.89650171,44846.7916,21.4,92,426,72
Israel,ISR,2021,50670,4836,45766.19176,4903.808239,9371400,"21,640",1,45834,51.60381587,52.3273816,52129.51596,21.6,92,433,71.8
Israel,ISR,2022,51527,3808,46100.40862,5426.591385,9528600,"21,640",1.4,47719,39.96389816,56.95056341,54930.93881,21.6,92,440,71.6
Italy,ITA,2020,756862,75363,646893.4199,109968.5801,59438845,"294,140",1.5,681499,126.7908217,185.0113004,31922.91916,15.9,72,202,69
Italy,ITA,2021,706250,62314,630278.8548,75971.14533,59133173,"294,140",1.2,643936,105.3790907,128.474664,36449.25834,16,72,201,68.6
Italy,ITA,2022,711259,46996,627315.4975,83943.50261,58940424,"294,140",1.8,664263,79.73475047,142.4209344,34776.42323,16,72,200,68.6
Japan,JPN,2020,1384544,3492,1403748.178,-19204.17772,123951696,"364,555",-5.5,1381052,2.817226478,-15.49327548,39986.92863,14.5,94,340,73.5
Japan,JPN,2021,1452289,14900,1421095.362,31193.63732,123951696,"364,555",2.1,1437389,12.02081172,25.16596249,39827.12677,14.8,94,340,73.1
Japan,JPN,2022,1582033,38892,1442699.425,139333.5748,123951696,"364,555",3.6,1543141,31.37673889,112.4095751,33823.57073,14.8,94,340,73.1
Latvia,LVA,2020,29316,680,28288.85319,1027.146816,1900448,"62,200",1.5,28636,35.78103689,54.04761488,18096.20271,18.4,69,31,54.4
Latvia,LVA,2021,34471,3899,27518.58801,6952.411985,1884488,"62,200",1.8,30572,206.899699,368.9284296,20930.39824,18.8,69,30,53.6
Latvia,LVA,2022,30279,1589,27319.03071,2959.969288,1879374,"62,200",1.9,28690,84.54942976,157.4976182,21779.50426,18.8,69,30,53.6
Lithuania,LTU,2020,44322,1943,37817.05749,6504.94251,2794885,"62,674",3.3,42379,69.51985502,232.7445498,20381.85578,20.4,71,45,58
Lithuania,LTU,2021,47463,5489,36076.86592,11386.13408,2808380,"62,674",2.1,41974,195.4507581,405.434239,23849.6157,20.6,71,45,57.9
Lithuania,LTU,2022,42380,2063,35110.03109,7269.968913,2833000,"62,674",3.5,40317,72.8203318,256.6173284,25064.80891,20.6,71,45,57.9
Luxembourg,LUX,2020,4667,497,4447.497378,219.5026218,630413,"2,590",0.4,4170,78.83720672,34.8188603,116905.3704,14.6,88,243,73.2
Luxembourg,LUX,2021,4490,420,4434.856929,55.14307115,640064,"2,590",0.1,4070,65.61843816,8.615243343,133711.7944,14.7,88,247,72.7
Luxembourg,LUX,2022,4446,264,4511.10412,-65.1041198,653108,"2,590",-0.2,4182,40.42210477,-9.968354361,125006.0218,14.7,88,252,72.7
Mexico,MEX,2020,1095940,124424,771447.6267,324492.3732,127792286,"1,943,950",2.6,971516,97.36424936,253.921722,8894.89065,8,88,66,71
Mexico,MEX,2021,1097432,168059,774524.4756,322907.5244,128972439,"1,943,950",1.9,929373,130.3061346,250.3694021,10359.14986,8.1,88,66,70.7
Mexico,MEX,2022,837237,31596,794083.7936,43153.20637,130118356,"1,943,950",1.4,805641,24.28250784,33.16458008,11496.52287,8.1,88,67,70.7
Netherlands,NLD,2020,171277,11662,155473.208,15803.79195,17441500,"33,720",1.4,159615,66.86351518,90.61027979,52162.57012,19.6,92,517,69.3
Netherlands,NLD,2021,170184,9393,153375.3109,16808.68914,17533048,"33,720",1.8,160791,53.57311518,95.86860847,58727.87055,20,92,520,69
Netherlands,NLD,2022,169159,2048,154331.3659,14827.63408,17703092,"33,720",7.2,167111,11.56860056,83.75731245,57025.01246,20,92,525,68.7
New Zealand,NZL,2020,33197,26,35282.85524,-2085.855243,5090200,"263,310",-80.2,33171,0.510785431,-40.97786419,41760.59478,15.6,82,19,71.2
New Zealand,NZL,2021,34802,23,35314.28614,-512.2861423,5111400,"263,310",-22.3,34779,0.449974567,-10.02242326,49996.42067,15.9,82,19,71.4
New Zealand,NZL,2022,38477,2299,35971.69176,2505.308239,5124100,"263,310",1.1,36178,44.86641557,48.89264923,48418.59166,15.9,82,19,71.4
Norway,NOR,2020,41207,436,41094.28052,112.7194756,5379472,"365,268",0.3,40771,8.104884643,2.095363181,68340.0181,17.7,86,15,74.6
Norway,NOR,2021,41933,871,40127.70861,1805.291386,5408320,"365,268",2.1,41062,16.10481628,33.3798922,90655.39102,18.1,86,15,74.8
Norway,NOR,2022,45584,3022,40026.65918,5557.340823,5457129,"365,268",1.8,42562,55.37710397,101.836347,106177.1972,18.1,86,15,74.8
Poland,POL,2020,485604,29119,420223.6185,65380.38146,38354173,"306,230",2.2,456485,75.92133456,170.4648448,15816.8204,18.4,55,125,63.7
Poland,POL,2021,518700,68473,415776.0831,102923.9169,38162224,"306,230",1.5,450227,179.4261257,269.7010449,18050.27944,18.8,55,125,63.3
Poland,POL,2022,447053,20941,419788.9494,27264.05056,37827355,"306,230",1.3,426112,55.35940855,72.07495888,18688.00449,18.8,55,124,63.3
Portugal,PRT,2020,125756,7118,114111.8054,11644.19457,10384846,"91,590",1.6,118638,68.54218156,112.126791,22242.40642,22.3,67,113,66.1
Portugal,PRT,2021,124559,11872,112059.3678,12499.63221,10407707,"91,590",1.1,112687,114.0693142,120.0997704,24661.16649,22.6,67,114,65.2
Portugal,PRT,2022,124587,6724,112548.27,12038.72996,10444241,"91,590",1.8,117863,64.37997744,115.266681,24515.26585,22.6,67,114,65.2
Slovakia,SVK,2020,60265,2317,54209.40804,6055.591947,5458827,"48,088",2.6,57948,42.44501612,110.9321095,19552.09111,16.8,51,114,63.4
Slovakia,SVK,2021,72964,14384,53081.91087,19882.08914,5441991,"48,088",1.4,58580,264.3150273,365.3458659,21768.14867,17.2,51,113,62.5
Slovakia,SVK,2022,59176,4122,53034.36592,6141.634082,5431752,"48,088",1.5,55054,75.88711708,113.0691181,21256.80843,17.2,51,113,62.5
Slovenia,SVN,2020,24405,2803,21120.23277,3284.767229,2100126,"20,140",1.2,21602,133.4681824,156.4081026,25558.42905,20.1,55,104,69.1
Slovenia,SVN,2021,23089,2800,20891.28839,2197.71161,2107007,"20,140",0.8,20289,132.889924,104.3049031,29331.0647,20.5,55,105,68.4
Slovenia,SVN,2022,22441,1419,21083.4985,1357.501498,2108732,"20,140",1,21022,67.29162359,64.37525006,28439.3341,20.5,55,105,68.4
South Korea,KOR,2020,309530,981,309663.5893,-133.5893248,51815808,"97,230",-0.1,308549,1.893244625,-0.257815771,31721.29891,15.8,82,533,79.8
South Korea,KOR,2021,316898,4749,309191.5461,7706.453933,51815808,"97,230",1.6,312149,9.165156703,14.87278541,35142.26427,16.7,82,533,79.6
South Korea,KOR,2022,371945,26542,314920.9382,57024.06179,51815808,"97,230",2.1,345403,51.2237501,110.0514765,32422.57449,16.7,82,533,79.6
Spain,ESP,2020,498856,51578,424297.2577,74558.74232,47355685,"498,800",1.4,447278,108.9161734,157.4441217,26984.29628,19.7,80,95,67.7
Spain,ESP,2021,447772,38568,415085.1476,32686.85244,47331302,"498,800",0.8,409204,81.48518712,69.05969424,30488.82095,19.9,80,95,67.6
Spain,ESP,2022,462748,27952,414806.5094,47941.49064,47615034,"498,800",1.7,434796,58.70414794,100.6856167,29674.54429,19.9,80,95,67.6
Sweden,SWE,2020,99654,8979,90948.23967,8705.760319,10353444,"410,340",1,90675,86.72476521,84.08564647,52837.90398,20,86,25,66.7
Sweden,SWE,2021,91511.5,6587,88616.34119,2895.158801,10415812,"410,340",0.4,84924.5,63.24038875,27.79580508,61417.68088,20.1,86,25,67.1
Sweden,SWE,2022,94475.9,6517,88140.34692,6335.553072,10486941,"410,340",1,87958.9,62.14395599,60.41373811,56373.78858,20.1,86,26,67.1
Switzerland,CHE,2020,77439,8085,67974.25279,9464.747191,8638169,"39,516",1.2,69354,93.59622392,109.5689051,85897.78433,18.7,75,219,71.5
Switzerland,CHE,2021,70842,4249,66625.02473,4216.975281,8704542,"39,516",1,66593,48.8135964,48.44568825,93446.43445,19,75,220,71.1
Switzerland,CHE,2022,74111,1992,66653.27415,7457.725844,8775757,"39,516",3.7,72119,22.69889652,84.98099758,93259.90572,19,75,222,71.1
Turkiye,TUR,2020,509048,20881,441020.7299,68027.27007,85341248,"769,630",3.3,488167,24.4676525,79.71206382,8638.739133,8.2,77,111,64.4
Turkiye,TUR,2021,566485,61480,445374.7102,121110.2898,85341248,"769,630",2,505005,72.04019327,141.9129584,9743.213131,8.4,77,111,64.5
Turkiye,TUR,2022,504839,18842,451015.9092,53823.09085,85341248,"769,630",2.9,485997,22.07842098,63.06808502,10674.50417,8.4,77,111,64.5
United Kingdom,GBR,2020,696710,89243,616025.8,80684.2,67081234,"241,930",0.9,607467,133.0372068,120.2783479,40217.00901,18.7,85,277,68.2
United Kingdom,GBR,2021,667043,84044,604473.4,62569.6,67026292,"241,930",0.7,582999,125.3896009,93.35083015,46869.75906,18.9,85,277,68.4
United Kingdom,GBR,2022,656992,38066,604473.4,52518.6,67299048,"241,930",1.4,618926,56.56246431,78.03765664,46125.25575,18.9,85,278,68.4
Czechia,CZE,2020,131494,12461,113087.9,18406.1,10700155,"77,240",1.5,119033,116.4562569,172.0171343,22992.87938,20.2,75,139,60.3
Czechia,CZE,2021,139150,24026,110781.2,28368.8,10500850,"77,240",1.2,115124,228.8005257,270.1571778,26822.51419,20.5,75,136,61.1
Czechia,CZE,2022,119870,5681,110781.2,9088.8,10759525,"77,240",1.6,114189,52.79972861,84.47213051,27223.04519,20.5,75,139,61.1
Unites States,USA,2020,3440814,392818,2841337.5,599476.5,331511512,"9,147,420",1.5,3047996,118.4930193,180.8312768,63528.6343,16.2,83,36,62.4
Unites States,USA,2021,3457550,457832,2782567.4,674982.6,332031554,"9,147,420",1.5,2999718,137.8880996,203.2886911,70219.47245,16.7,83,36,61.5
Unites States,USA,2022,3278316,244505,2782567.4,495748.6,333287557,"9,147,420",2,3033811,73.36157467,148.745007,76329.58227,16.7,83,36,61.5
