Country,Year,Population,pop_0_44,pop_45_64,pop_65_over,all_cause_deaths,All_0_44,All_45_64,All_65_over,covid_deaths
Australia,2015,23815995,14412137,5849554,3554304,639662,8208,21440,130267,0
Australia,2016,24190907,14584444,5934212,3672251,633810,8036,20890,129525,0
Australia,2017,24594202,14778432,6028110,3787660,655704,8155,21215,134554,0
Australia,2018,24966643,14959115,6100603,3906925,636332,7723,21198,130161,0
Australia,2019,25340217,15137277,6171573,4031367,657548,7998,21423,134965,0
Iceland,2020,366462,225330,87719,53413,9380,123,286,1936,29
Iceland,2021,372523,228578,88583,55362,9352,123,281,1934,9
Iceland,2022,382005,234631,90040,57334,10756,113,309,2267,148
Austria,2015,8629519,4563508,2471574,1594437,331876,2277,10210,70482,0
Austria,2016,8739806,4615301,2508074,1616431,315368,2111,9829,66902,0
Austria,2017,8795073,4621130,2538109,1635834,325244,2078,9787,69446,0
Austria,2018,8837707,4620453,2559370,1657884,328252,2125,9987,69951,0
Austria,2019,8877637,4619397,2576717,1681523,326228,2096,9702,69759,0
Luxembourg,2020,630413,367282,171372,91759,18668,149,626,3892,295
Luxembourg,2021,640064,372238,173858,93968,17956,145,624,3719,345
Luxembourg,2022,653108,379697,176698,96713,17770,141,620,3680,321
Belgium,2015,11238474,6156761,3035138,2046575,449636,3413,14936,94060,0
Belgium,2016,11295003,6162881,3053293,2078829,430128,3317,14015,90200,0
Belgium,2017,11349081,6168493,3067762,2112826,437112,3297,13641,92340,0
Belgium,2018,11403740,6178880,3076931,2147929,441364,3190,13604,93547,0
Belgium,2019,11462023,6195855,3081279,2184889,433744,3087,13096,92253,0
Estonia,2020,1329479,712356,348702,268421,64228,551,2562,12944,323
Estonia,2021,1330932,710577,348961,271394,73664,632,2691,15093,1528
Estonia,2022,1348840,721829,352711,274300,68804,639,2494,14068,895
Canada,2015,35702908,19893626,10087045,5722237,1077820,12620,42470,214365,0
Canada,2016,36109487,20043827,10144692,5920968,1064320,12955,42010,211115,0
Canada,2017,36545236,20242500,10167724,6135012,1109545,13770,42350,221250,0
Canada,2018,37065084,20536342,10173190,6355552,1139415,14175,42465,228235,0
Canada,2019,37601230,20832056,10169164,6600010,1137120,13595,41350,229305,0
Latvia,2020,1900448,980228,527665,392555,117344,1203,5176,22957,728
Latvia,2021,1884488,968573,523257,392658,137878,1368,6363,26737,4159
Latvia,2022,1879374,965707,520399,393268,121051,1304,5378,23566,2171
Chile,2015,17971423,11832083,4232977,1906363,419674,9651,20737,74540,0
Chile,2016,18167147,11878150,4303279,1985718,413684,9341,19879,74214,0
Chile,2017,18419192,11973631,4374765,2070796,424368,8970,20001,77132,0
Chile,2018,18751405,12127322,4458888,2165195,426022,9024,20010,77481,0
Chile,2019,19107216,12302580,4544414,2260222,437422,9127,20509,79727,0
Slovenia,2020,2100126,1073823,596448,429855,97620,521,2815,21069,3129
Slovenia,2021,2107007,1067256,599102,440649,92356,532,2936,19621,3024
Slovenia,2022,2108732,1060222,598986,449524,89764,552,2689,19200,2718
Colombia,2015,46313898,33144725,9428531,3740642,446946,0,0,0,0
Colombia,2016,46830116,33305126,9630598,3894392,443710,0,0,0,0
Colombia,2017,47419200,33534312,9826418,4058470,453545,0,0,0,0
Colombia,2018,48258494,33974905,10036225,4247364,472375,0,0,0,0
Colombia,2019,49395678,34671877,10272966,4450835,487203,0,0,0,0
Costa Rica,2020,5111238.216,3573786.799,1084373.773,453077.6449,26541,0,0,0,2193
Costa Rica,2021,5163037.971,3585182.035,1101083.554,476772.3825,31093,0,0,0,5164
Costa Rica,2022,5213373.671,3593675.021,1118545.675,501152.9748,28931,0,0,0,1728
Costa Rica,2015,4832233.813,3486549.575,990047.7123,355636.5267,21410,0,0,0,0
Costa Rica,2016,4890379.452,3506857.391,1011952.968,371569.0934,20491,0,0,0,0
Costa Rica,2017,4947489.593,3525970.854,1031678.652,389840.0871,23134,0,0,0,0
Costa Rica,2018,5003401.958,3543282.333,1050861.727,409257.8983,23596,0,0,0,0
Costa Rica,2019,5058007.147,3558985.616,1068733.874,430287.6578,23184,0,0,0,0
Lithuania,2020,2794885,1428357,810017,556511,177288,1701,8415,34206,2523
Lithuania,2021,2808380,1420799,827298,560283,189852,1805,8776,36882,5586
Lithuania,2022,2833000,1440475,826678,565847,169520,1507,7556,33317,1250
Czechia,2015,10542942,5875896,2761269,1905777,452696,3782,17554,91838,0
Czechia,2016,10565284,5851238,2753639,1960407,428948,3639,16328,87270,0
Czechia,2017,10589526,5822781,2752748,2013997,444028,3604,16265,91138,0
Czechia,2018,10626430,5792713,2770664,2063053,450416,3687,15985,92932,0
Czechia,2019,10669324,5752965,2807542,2108817,448160,3603,15582,92855,0
Ireland,2020,4977443,3031122,1226180,720141,64948,0,0,0,2328
Ireland,2021,5011460,3017699,1251488,742273,68518,0,0,0,3810
Ireland,2022,5100229,3052353,1278962,768914,70352,0,0,0,2211
Denmark,2015,5678348,3111844,1502625,1063879,213740,1383,7428,44624,0
Denmark,2016,5724456,3128658,1509740,1086058,210324,1411,7204,43966,0
