country,start_date,end_date,week,year,population,total_deaths,covid_deaths,expected_deaths,excess_deaths,non_covid_deaths,covid_deaths_per_100k,excess_deaths_per_100k
Australia,30/12/2019,5/01/2020,1,2020,25655289,2928,0,2963.662453,-35.66245318,2928,0,-0.136233696
Australia,6/01/2020,12/01/2020,2,2020,25655289,2902,0,2954.162453,-52.16245318,2902,0,-0.199265142
Australia,13/01/2020,19/01/2020,3,2020,25655289,2915,0,2931.32912,-16.32911985,2915,0,-0.062378669
Australia,20/01/2020,26/01/2020,4,2020,25655289,3009,0,2938.662453,70.33754682,3009,0,0.268695592
Australia,27/01/2020,2/02/2020,5,2020,25655289,2911,0,2897.662453,13.33754682,2911,0,0.050950598
Australia,3/02/2020,9/02/2020,6,2020,25655289,2918,0,2929.32912,-11.32911985,2918,0,-0.043278231
Australia,10/02/2020,16/02/2020,7,2020,25655289,3031,0,2934.995787,96.00421348,3031,0,0.366744508
Australia,17/02/2020,23/02/2020,8,2020,25655289,3059,0,2988.82912,70.17088015,3059,0,0.268058911
Australia,24/02/2020,1/03/2020,9,2020,25655289,3091,1,2949.994944,141.0050562,3090,0.003820088,0.53865167
Australia,2/03/2020,8/03/2020,10,2020,25655289,2997,2,2988.594944,8.40505618,2995,0.007640175,0.032108051
Australia,9/03/2020,15/03/2020,11,2020,25655289,2977,0,2926.194944,50.80505618,2977,0,0.194079766
Australia,16/03/2020,22/03/2020,12,2020,25655289,3095,4,2961.594944,133.4050562,3091,0.015280351,0.509619004
Australia,23/03/2020,29/03/2020,13,2020,25655289,3144,9,2978.594944,165.4050562,3135,0.034380789,0.631861808
Australia,30/03/2020,5/04/2020,14,2020,25655289,3218,19,2995.794944,222.2050562,3199,0.072581665,0.848842785
Australia,6/04/2020,12/04/2020,15,2020,25655289,3140,25,3040.994944,99.00505618,3115,0.095502191,0.37820799
Australia,13/04/2020,19/04/2020,16,2020,25655289,3084,7,3045.194944,38.80505618,3077,0.026740613,0.148238715
Australia,20/04/2020,26/04/2020,17,2020,25655289,3046,16,3035.794944,10.20505618,3030,0.061121402,0.038984209
Australia,27/04/2020,3/05/2020,18,2020,25655289,3032,12,3069.794944,-37.79494382,3020,0.045841052,-0.144379997
Australia,4/05/2020,10/05/2020,19,2020,25655289,3162,2,3189.594944,-27.59494382,3160,0.007640175,-0.105415103
Australia,11/05/2020,17/05/2020,20,2020,25655289,3153,2,3188.394944,-35.39494382,3151,0.007640175,-0.135211787
Australia,18/05/2020,24/05/2020,21,2020,25655289,3214,3,3263.994944,-49.99494382,3211,0.011460263,-0.190985066
Australia,25/05/2020,31/05/2020,22,2020,25655289,3178,1,3281.194944,-103.1949438,3177,0.003820088,-0.394213728
Australia,1/06/2020,7/06/2020,23,2020,25655289,3113,0,3351.194944,-238.1949438,3113,0,-0.909925557
Australia,8/06/2020,14/06/2020,24,2020,25655289,3129,0,3299.194944,-170.1949438,3129,0,-0.650159599
Australia,15/06/2020,21/06/2020,25,2020,25655289,3065,0,3328.594944,-263.5949438,3065,0,-1.006955783
Australia,22/06/2020,28/06/2020,26,2020,25655289,3058,2,3381.994944,-323.9949438,3056,0.007640175,-1.237689076
Australia,29/06/2020,5/07/2020,27,2020,25655289,3221,2,3459.594944,-238.5949438,3219,0.007640175,-0.911453592
Australia,6/07/2020,12/07/2020,28,2020,25655289,3201,2,3441.794944,-240.7949438,3199,0.007640175,-0.919857785
Australia,13/07/2020,19/07/2020,29,2020,25655289,3205,15,3527.994944,-322.9949438,3190,0.057301314,-1.233868988
Australia,20/07/2020,26/07/2020,30,2020,25655289,3334,38,3548.594944,-214.5949438,3296,0.14516333,-0.819771489
Australia,27/07/2020,2/08/2020,31,2020,25655289,3353,60,3504.594944,-151.5949438,3293,0.229205258,-0.579105969
Australia,3/08/2020,9/08/2020,32,2020,25655289,3399,92,3525.994944,-126.9949438,3307,0.351448062,-0.485131813
Australia,10/08/2020,16/08/2020,33,2020,25655289,3479,108,3574.394944,-95.39494382,3371,0.412569464,-0.364417044
Australia,17/08/2020,23/08/2020,34,2020,25655289,3312,96,3596.594944,-284.5949438,3216,0.366728412,-1.087177623
Australia,24/08/2020,30/08/2020,35,2020,25655289,3285,135,3605.394944,-320.3949438,3150,0.515711829,-1.22393676
Australia,31/08/2020,6/09/2020,36,2020,25655289,3293,110,3539.394944,-246.3949438,3183,0.420209639,-0.941250276
Australia,7/09/2020,13/09/2020,37,2020,25655289,3239,54,3454.994944,-215.9949438,3185,0.206284732,-0.825119612
Australia,14/09/2020,20/09/2020,38,2020,25655289,3102,35,3404.194944,-302.1949438,3067,0.133703067,-1.154411165
Australia,21/09/2020,27/09/2020,39,2020,25655289,3146,24,3282.994944,-136.9949438,3122,0.091682103,-0.52333269
Australia,28/09/2020,4/10/2020,40,2020,25655289,3189,19,3284.594944,-95.59494382,3170,0.072581665,-0.365181062
Australia,5/10/2020,11/10/2020,41,2020,25655289,3045,4,3238.194944,-193.1949438,3041,0.015280351,-0.738021614
Australia,12/10/2020,18/10/2020,42,2020,25655289,3006,7,3182.994944,-176.9949438,2999,0.026740613,-0.676136195
Australia,19/10/2020,25/10/2020,43,2020,25655289,2965,0,3118.794944,-153.7949438,2965,0,-0.587510162
Australia,26/10/2020,1/11/2020,44,2020,25655289,3037,2,3110.194944,-73.19494382,3035,0.007640175,-0.279611099
Australia,2/11/2020,8/11/2020,45,2020,25655289,3035,0,3060.794944,-25.79494382,3035,0,-0.098538946
Australia,9/11/2020,15/11/2020,46,2020,25655289,3136,0,3013.594944,122.4050562,3136,0,0.46759804
Australia,16/11/2020,22/11/2020,47,2020,25655289,3044,0,3043.794944,0.20505618,3044,0,7.83E-04
Australia,23/11/2020,29/11/2020,48,2020,25655289,2959,1,3007.594944,-48.59494382,2958,0.003820088,-0.185636944
Australia,30/11/2020,6/12/2020,49,2020,25655289,3108,0,2972.194944,135.8050562,3108,0,0.518787215
Australia,7/12/2020,13/12/2020,50,2020,25655289,3008,0,3040.994944,-32.99494382,3008,0,-0.126043577
Australia,14/12/2020,20/12/2020,51,2020,25655289,3048,0,2998.594944,49.40505618,3048,0,0.188731644
Australia,21/12/2020,27/12/2020,52,2020,25655289,3069,1,2939.994944,129.0050562,3068,0.003820088,0.492810619
Australia,28/12/2020,3/01/2021,53,2020,25655289,2991,0,2946.994382,44.00561798,2991,0,0.168105317
Australia,4/01/2021,10/01/2021,1,2021,25688079,3030,0,2993.660768,36.33923221,3030,0,0.138819051
Australia,11/01/2021,17/01/2021,2,2021,25688079,2951,0,2984.160768,-33.16076779,2951,0,-0.126677039
Australia,18/01/2021,24/01/2021,3,2021,25688079,3150,0,2961.327434,188.6725655,3150,0,0.720745733
Australia,25/01/2021,31/01/2021,4,2021,25688079,2946,0,2968.660768,-22.66076779,2946,0,-0.086566119
Australia,1/02/2021,7/02/2021,5,2021,25688079,3072,0,2927.660768,144.3392322,3072,0,0.551388515
Australia,8/02/2021,14/02/2021,6,2021,25688079,2963,0,2959.327434,3.672565543,2963,0,0.014029522
Australia,15/02/2021,21/02/2021,7,2021,25688079,2939,0,2964.994101,-25.99410112,2939,0,-0.099299744
Australia,22/02/2021,28/02/2021,8,2021,25688079,3050,0,3018.827434,31.17256554,3050,0,0.119081932
Australia,1/03/2021,7/03/2021,9,2021,25688079,3071,0,2979.993258,91.00674157,3071,0,0.347653727
Australia,8/03/2021,14/03/2021,10,2021,25688079,3118,0,3018.593258,99.40674157,3118,0,0.379742463
Australia,15/03/2021,21/03/2021,11,2021,25688079,3089,0,2956.193258,132.8067416,3089,0,0.50733339
